Player_Name,Country,Market_Value,Age_Mult,Position_Mult,Rank_Mult,Synergy_Mult,Expected_Utility_Value
Rayan Aït-Nouri,Algeria,40.0,1.0,1.25,1.0,1.0,50.0
Ibrahim Maza,Algeria,45.0,0.7,1.0,1.0,1.0,31.499999999999996
Amine Gouiri,Algeria,28.0,1.0,0.85,1.0,1.0,23.8
Anis Hadj Moussa,Algeria,23.0,1.0,0.85,1.0,1.0,19.55
Mohamed Amoura,Algeria,20.0,1.0,0.85,1.0,1.0,17.0
Farès Chaïbi,Algeria,15.0,1.0,1.0,1.0,1.0,15.0
Hicham Boudaoui,Algeria,12.0,1.0,1.0,1.0,1.0,12.0
Ramy Bensebaini,Algeria,7.0,1.15,1.25,1.0,1.0,10.062499999999998
Jaouen Hadjam,Algeria,7.0,1.0,1.25,1.0,1.0,8.75
Rafik Belghali,Algeria,7.0,1.0,1.25,1.0,1.0,8.75
Houssem Aouar,Algeria,8.0,1.0,1.0,0.8,1.0,6.4
Ramiz Zerrouki,Algeria,6.5,1.0,1.0,0.8,1.0,5.2
Farès Ghedjemis,Algeria,7.5,1.0,0.85,0.8,1.0,5.1000000000000005
Nabil Bentaleb,Algeria,4.5,1.15,1.0,0.8,1.0,4.14
Yassine Titraoui,Algeria,7.0,0.7,1.0,0.8,1.0,3.92
Riyad Mahrez,Algeria,5.0,1.0,0.85,0.4,1.0,1.7000000000000002
Luca Zidane,Algeria,1.0,1.0,1.5,1.0,1.0,1.5
Samir Chergui,Algeria,3.0,1.0,1.25,0.4,1.0,1.5
Adil Boulbina,Algeria,3.0,1.0,0.85,0.4,1.0,1.02
Zineddine Belaid,Algeria,1.5,1.0,1.25,0.4,1.0,0.75
Mohamed Amine Tougai,Algeria,1.3,1.0,1.25,0.4,1.0,0.65
Achref Abada,Algeria,1.0,1.0,1.25,0.4,1.0,0.5
Oussama Benbout,Algeria,0.85,1.15,1.5,0.1,1.0,0.14662499999999998
Aïssa Mandi,Algeria,1.0,1.0,1.25,0.1,1.0,0.125
Nadhir Benbouali,Algeria,1.2,1.0,0.85,0.1,1.0,0.10200000000000001
Melvin Mastil,Algeria,0.25,1.0,1.5,0.1,1.0,0.037500000000000006
Enzo Fernández,Argentina,90.0,1.0,1.0,1.0,1.0,90.0
Julián Álvarez,Argentina,90.0,1.0,0.85,1.0,1.06,81.09
Lautaro Martínez,Argentina,85.0,1.0,0.85,1.0,1.0,72.25
Alexis Mac Allister,Argentina,70.0,1.0,1.0,1.0,1.0,70.0
Cristian Romero,Argentina,45.0,1.0,1.25,1.0,1.0,56.25
Nico Paz,Argentina,80.0,0.7,1.0,1.0,1.0,56.0
Lisandro Martínez,Argentina,40.0,1.0,1.25,1.0,1.0,50.0
Giuliano Simeone,Argentina,40.0,1.0,0.85,1.0,1.06,36.04
Valentín Barco,Argentina,40.0,0.7,1.0,1.0,1.0,28.0
Exequiel Palacios,Argentina,25.0,1.0,1.0,1.0,1.0,25.0
Emiliano Martínez,Argentina,12.0,1.15,1.5,1.0,1.0,20.7
