Location_Name,Type,Latitude,Longitude,UTC_Offset
Estadio Azteca,Stadium,19.303,-99.1505,-6
Estadio Akron,Stadium,20.6818,-103.4627,-6
BMO Field,Stadium,43.6333,-79.4186,-4
SoFi Stadium,Stadium,33.9534,-118.339,-7
Gillette Stadium,Stadium,42.0909,-71.2642,-4
BC Place,Stadium,49.2767,-123.112,-7
MetLife Stadium,Stadium,40.8135,-74.0743,-4
Levi's Stadium,Stadium,37.403,-121.9696,-7
Lincoln Financial Field,Stadium,39.9009,-75.1675,-4
NRG Stadium,Stadium,29.6849,-95.4108,-5
AT&T Stadium,Stadium,32.7479,-97.0928,-5
Estadio BBVA,Stadium,25.6691,-100.2445,-6
Hard Rock Stadium,Stadium,25.9579,-80.2388,-4
Mercedes-Benz Stadium,Stadium,33.7554,-84.4008,-4
Lumen Field,Stadium,47.5953,-122.3316,-7
Arrowhead Stadium,Stadium,39.0489,-94.484,-5
Toronto Stadium,Stadium,43.6333,-79.4186,-4
Dallas,Base_Camp,32.7763,-96.7969,-5
Mexico City,Base_Camp,19.3208,-99.1515,-6
Pachuca,Base_Camp,20.1165,-98.7414,-6
Guadalajara,Base_Camp,20.672,-103.3384,-6
Sandy,Base_Camp,40.571,-111.8954,-6
Vancouver,Base_Camp,49.2609,-123.114,-7
Santa Barbara,Base_Camp,34.4221,-119.7027,-7
San Diego,Base_Camp,32.7174,-117.1628,-7
New York New Jersey,Base_Camp,42.0753,-73.6017,-4
Charlotte,Base_Camp,35.2272,-80.8431,-4
San Francisco Bay Area,Base_Camp,37.7885,-122.3558,-7
Mesa,Base_Camp,33.4151,-111.8315,-7
Irvine,Base_Camp,33.6857,-117.826,-7
Boca Raton,Base_Camp,26.3587,-80.0831,-4
Columbus,Base_Camp,39.9623,-83.0007,-4
Winston-Salem,Base_Camp,36.0998,-80.2441,-4
Philadelphia,Base_Camp,39.9527,-75.1635,-4
Nashville,Base_Camp,36.1623,-86.7743,-5
Kansas City,Base_Camp,39.1001,-94.5781,-5
Monterrey,Base_Camp,25.6802,-100.3153,-6
Renton,Base_Camp,47.4799,-122.2034,-7
Spokane,Base_Camp,47.6572,-117.4235,-7
Tijuana,Base_Camp,32.5317,-117.0195,-7
Tampa,Base_Camp,27.945,-82.4583,-4
Austin,Base_Camp,30.2711,-97.7437,-5
Chattanooga,Base_Camp,35.0457,-85.3095,-4
Cancun,Base_Camp,21.1527,-86.8426,-5
Boston,Base_Camp,42.3588,-71.0578,-4
Greenbrier County,Base_Camp,37.9612,-80.4509,-4
Greensboro,Base_Camp,36.0726,-79.792,-4
Goleta,Base_Camp,34.4358,-119.8276,-7
Portland,Base_Camp,45.5202,-122.6742,-7
Houston,Base_Camp,29.7589,-95.3677,-5
Palm Beach Gardens,Base_Camp,26.8234,-80.1387,-4
Atlanta,Base_Camp,33.7545,-84.3898,-4
Alexandria,Base_Camp,44.835,8.745,2
New Tecumseth,Base_Camp,44.1542,-79.869,-4
