Match_ID,Date,Team_A,Team_B,Stadium_Name,City,Match_Type,Goals_A,Goals_B,Actual_Winner,Predicted_Goals_A,Predicted_Goals_B,Predicted_Winner,Winning_Probability_A,Winning_Probability_B,Draw_Probability
1,"June 11, 2026",Mexico,South Africa,Estadio Azteca,Mexico City,Group,,,,,,,,,
2,"June 11, 2026",South Korea,Czech Republic,Estadio Akron,Zapopan,Group,,,,,,,,,
3,"June 12, 2026",Canada,Bosnia and Herzegovina,BMO Field,Toronto,Group,,,,,,,,,
4,"June 12, 2026",United States,Paraguay,SoFi Stadium,Inglewood,Group,,,,,,,,,
5,"June 13, 2026",Haiti,Scotland,Gillette Stadium,Foxborough,Group,,,,,,,,,
6,"June 13, 2026",Australia,Turkey,BC Place,Vancouver,Group,,,,,,,,,
7,"June 13, 2026",Brazil,Morocco,MetLife Stadium,East Rutherford,Group,,,,,,,,,
8,"June 13, 2026",Qatar,Switzerland,Levi's Stadium,Santa Clara,Group,,,,,,,,,
9,"June 14, 2026",Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,Group,,,,,,,,,
10,"June 14, 2026",Germany,Curaçao,NRG Stadium,Houston,Group,,,,,,,,,
11,"June 14, 2026",Netherlands,Japan,AT&T Stadium,Arlington,Group,,,,,,,,,
12,"June 14, 2026",Sweden,Tunisia,Estadio BBVA,Guadalupe,Group,,,,,,,,,
13,"June 15, 2026",Saudi Arabia,Uruguay,Hard Rock Stadium,Miami Gardens,Group,,,,,,,,,
14,"June 15, 2026",Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta,Group,,,,,,,,,
15,"June 15, 2026",Iran,New Zealand,SoFi Stadium,Inglewood,Group,,,,,,,,,
16,"June 15, 2026",Belgium,Egypt,Lumen Field,Seattle,Group,,,,,,,,,
17,"June 16, 2026",France,Senegal,MetLife Stadium,East Rutherford,Group,,,,,,,,,
18,"June 16, 2026",Iraq,Norway,Gillette Stadium,Foxborough,Group,,,,,,,,,
19,"June 16, 2026",Argentina,Algeria,Arrowhead Stadium,Kansas City,Group,,,,,,,,,
20,"June 16, 2026",Austria,Jordan,Levi's Stadium,Santa Clara,Group,,,,,,,,,
21,"June 17, 2026",Ghana,Panama,Toronto Stadium,Toronto,Group,,,,,,,,,
22,"June 17, 2026",England,Croatia,AT&T Stadium,Arlington,Group,,,,,,,,,
23,"June 17, 2026",Portugal,DR Congo,NRG Stadium,Houston,Group,,,,,,,,,
24,"June 17, 2026",Uzbekistan,Colombia,Estadio Azteca,Mexico City,Group,,,,,,,,,
25,"June 18, 2026",Czech Republic,South Africa,Mercedes-Benz Stadium,Atlanta,Group,,,,,,,,,
26,"June 18, 2026",Switzerland,Bosnia and Herzegovina,SoFi Stadium,Inglewood,Group,,,,,,,,,
27,"June 18, 2026",Canada,Qatar,BC Place,Vancouver,Group,,,,,,,,,
28,"June 18, 2026",Mexico,South Korea,Estadio Akron,Zapopan,Group,,,,,,,,,
29,"June 19, 2026",Brazil,Haiti,Lincoln Financial Field,Philadelphia,Group,,,,,,,,,
30,"June 19, 2026",Scotland,Morocco,Gillette Stadium,Foxborough,Group,,,,,,,,,
31,"June 19, 2026",Turkey,Paraguay,Levi's Stadium,Santa Clara,Group,,,,,,,,,
32,"June 19, 2026",United States,Australia,Lumen Field,Seattle,Group,,,,,,,,,
33,"June 20, 2026",Germany,Ivory Coast,BMO Field,Toronto,Group,,,,,,,,,
34,"June 20, 2026",Ecuador,Curaçao,Arrowhead Stadium,Kansas City,Group,,,,,,,,,
35,"June 20, 2026",Netherlands,Sweden,NRG Stadium,Houston,Group,,,,,,,,,
36,"June 20, 2026",Tunisia,Japan,Estadio BBVA,Guadalupe,Group,,,,,,,,,
37,"June 21, 2026",Uruguay,Cape Verde,Hard Rock Stadium,Miami Gardens,Group,,,,,,,,,
38,"June 21, 2026",Spain,Saudi Arabia,Mercedes-Benz Stadium,Atlanta,Group,,,,,,,,,
39,"June 21, 2026",Belgium,Iran,SoFi Stadium,Inglewood,Group,,,,,,,,,
40,"June 21, 2026",New Zealand,Egypt,BC Place,Vancouver,Group,,,,,,,,,
41,"June 22, 2026",Norway,Senegal,MetLife Stadium,East Rutherford,Group,,,,,,,,,
42,"June 22, 2026",France,Iraq,Lincoln Financial Field,Philadelphia,Group,,,,,,,,,
43,"June 22, 2026",Argentina,Austria,AT&T Stadium,Arlington,Group,,,,,,,,,
44,"June 22, 2026",Jordan,Algeria,Levi's Stadium,Santa Clara,Group,,,,,,,,,
45,"June 23, 2026",England,Ghana,Gillette Stadium,Foxborough,Group,,,,,,,,,
46,"June 23, 2026",Panama,Croatia,Toronto Stadium,Toronto,Group,,,,,,,,,
47,"June 23, 2026",Portugal,Uzbekistan,NRG Stadium,Houston,Group,,,,,,,,,
48,"June 23, 2026",Colombia,DR Congo,Estadio Akron,Zapopan,Group,,,,,,,,,
49,"June 24, 2026",Scotland,Brazil,Hard Rock Stadium,Miami Gardens,Group,,,,,,,,,
50,"June 24, 2026",Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,Group,,,,,,,,,
51,"June 24, 2026",Switzerland,Canada,BC Place,Vancouver,Group,,,,,,,,,
52,"June 24, 2026",Bosnia and Herzegovina,Qatar,Lumen Field,Seattle,Group,,,,,,,,,
53,"June 24, 2026",Czech Republic,Mexico,Estadio Azteca,Mexico City,Group,,,,,,,,,
